item_id,restaurant_id,item_name,item_category,item_price,available_quantity
1,1,Cheesecake,Dessert,7.52,30
2,1,Lemonade,Drinks,3.94,34
3,1,Margherita Pizza,Casual,20.3,85
4,1,Veggie Pizza,Casual,23.33,40
5,1,Fruit Tart,Dessert,7.29,31
6,1,Pepperoni Pizza,Casual,20.09,70
7,1,Chicken Burger,Fast Food,7.55,88
8,1,BBQ Chicken Pizza,Casual,17.93,87
9,1,Fruit Tart,Dessert,6.43,27
10,2,Iced Tea,Drinks,3.4,60
11,2,Cheesecake,Dessert,8.01,80
12,2,Lemonade,Drinks,6.73,29
13,2,Iced Tea,Drinks,7.88,38
14,2,Veggie Pizza,Casual,29.09,90
15,2,Margherita Pizza,Casual,21.17,34
16,2,Veggie Pizza,Casual,16.75,98
17,2,Margherita Pizza,Casual,25.35,42
18,2,Cheesecake,Dessert,7.08,61
19,2,BBQ Chicken Pizza,Casual,18.26,56
20,2,Fresh Juice,Drinks,3.6,56
21,2,Makloub,Fast Food,13.71,28
22,2,Cheese Burger,Fast Food,8.4,83
23,2,Ice Cream Sundae,Dessert,6.66,92
24,2,Cheesecake,Dessert,5.41,80
25,3,Cheesecake,Dessert,8.84,58
26,3,Margherita Pizza,Casual,16.12,89
27,3,Cheese Burger,Fast Food,9.08,72
28,3,Veggie Pizza,Casual,19.32,85
29,3,Iced Tea,Drinks,6.37,51
30,3,BBQ Chicken Pizza,Casual,24.68,25
31,3,Cheesecake,Dessert,5.31,50
32,3,Makloub,Fast Food,14.44,19
33,3,Veggie Pizza,Casual,23.53,97
34,3,Margherita Pizza,Casual,21.98,81
35,3,Veggie Pizza,Casual,17.95,19
36,3,Kebab,Fast Food,7.51,48
37,3,BBQ Chicken Pizza,Casual,25.21,59
38,4,Cheesecake,Dessert,9.94,91
39,4,Makloub,Fast Food,5.13,63
40,4,Fresh Juice,Drinks,4.27,86
41,4,Iced Tea,Drinks,7.48,87
42,4,Chicken Burger,Fast Food,12.96,76
43,4,Fresh Juice,Drinks,2.05,19
44,4,Fruit Tart,Dessert,7.91,23
45,5,Veggie Pizza,Casual,,34
46,5,Chawarma,Fast Food,,42
47,5,Chicken Burger,Fast Food,9.81,81
48,5,Iced Tea,Drinks,2.68,32
49,5,Kebab,Fast Food,5.8,99
50,5,Cheesecake,Dessert,9.25,89
51,6,Lemonade,Drinks,3.57,14
52,6,Cheese Burger,Fast Food,7.78,44
53,6,Veggie Pizza,Casual,24.62,38
54,6,Iced Tea,Drinks,7.06,64
55,6,Libanais,Fast Food,6.7,100
56,6,Ice Cream Sundae,Dessert,6.62,70
57,6,Iced Tea,Drinks,7.39,99
58,6,Pepperoni Pizza,Casual,,50
59,6,Lemonade,Drinks,5.96,86
60,6,BBQ Chicken Pizza,Casual,15.24,49
61,6,Classic Burger,Fast Food,7.18,44
62,7,Libanais,Fast Food,,45
63,7,Margherita Pizza,Casual,20.12,65
64,7,Chicken Burger,Fast Food,12.67,90
65,7,Lemonade,Drinks,2.09,89
66,7,Iced Tea,Drinks,6.06,60
67,7,Tacos,Fast Food,5.82,31
68,7,Classic Burger,Fast Food,7.91,59
69,7,Pepperoni Pizza,Casual,27.58,46
70,7,Kebab,Fast Food,,26
71,7,Ice Cream Sundae,Dessert,5.3,54
72,7,Veggie Pizza,Casual,18.61,30
73,7,Cheesecake,Dessert,7.27,85
74,7,Chocolate Cake,Dessert,8.61,63
75,7,Ice Cream Sundae,Dessert,6.12,42
76,7,Cheesecake,Dessert,5.85,52
77,8,Fruit Tart,Dessert,7.96,91
78,8,Cheese Burger,Fast Food,13.05,31
79,8,BBQ Chicken Pizza,Casual,24.52,32
80,8,Fruit Tart,Dessert,5.81,89
81,8,Lemonade,Drinks,7.24,82
82,8,Chicken Burger,Fast Food,7.24,76
83,8,Ice Cream Sundae,Dessert,,10
84,8,Kebab,Fast Food,5.9,83
85,8,Chicken Burger,Fast Food,9.15,50
86,8,Smoothie,Drinks,6.17,53
87,8,Veggie Burger,Fast Food,11.08,71
88,8,Iced Tea,Drinks,5.69,63
89,8,Makloub,Fast Food,9.34,31
90,9,Chocolate Cake,Dessert,5.7,60
91,9,Pepperoni Pizza,Casual,21.11,18
92,9,Lemonade,Drinks,2.86,32
93,9,Smoothie,Drinks,7.36,34
94,9,Margherita Pizza,Casual,25.68,88
95,10,Fresh Juice,Drinks,6.83,16
96,10,Pepperoni Pizza,Casual,26.07,96
97,10,Margherita Pizza,Casual,20.61,46
98,10,Kebab,Fast Food,7.5,93
99,10,Fresh Juice,Drinks,6.06,90
100,10,Margherita Pizza,Casual,28.66,79
101,11,Margherita Pizza,Casual,,40
102,11,Lemonade,Drinks,6.34,62
103,11,Lemonade,Drinks,4.73,63
104,11,Fruit Tart,Dessert,6.79,48
105,11,Chocolate Cake,Dessert,9.5,74
106,12,Ice Cream Sundae,Dessert,8.86,24
107,12,Classic Burger,Fast Food,11.24,83
108,12,Ice Cream Sundae,Dessert,9.11,78
109,12,Pepperoni Pizza,Casual,17.83,20
110,12,Veggie Pizza,Casual,29.75,49
111,12,Ice Cream Sundae,Dessert,5.14,12
112,13,Smoothie,Drinks,,27
113,13,Fresh Juice,Drinks,3.69,23
114,13,Chocolate Cake,Dessert,6.48,74
115,13,Lemonade,Drinks,7.6,63
116,13,Cheesecake,Dessert,6.27,27
117,13,Lemonade,Drinks,3.05,46
118,13,Chawarma,Fast Food,13.25,31
119,14,Margherita Pizza,Casual,26.11,56
120,14,BBQ Chicken Pizza,Casual,16.67,57
121,14,Veggie Pizza,Casual,26.5,87
122,14,Makloub,Fast Food,8.58,20
123,14,Smoothie,Drinks,2.4,100
124,14,Ice Cream Sundae,Dessert,6.97,47
125,14,Fruit Tart,Dessert,6.61,40
126,14,Classic Burger,Fast Food,14.69,31
127,14,Cheesecake,Dessert,9.39,77
128,14,Lemonade,Drinks,3.98,73
129,15,Kebab,Fast Food,12.62,86
130,15,Chocolate Cake,Dessert,8.42,58
131,15,Fresh Juice,Drinks,5.7,39
132,15,Lemonade,Drinks,5.85,53
133,15,Chicken Burger,Fast Food,11.98,17
134,16,Tacos,Fast Food,12.11,91
135,16,Iced Tea,Drinks,7.1,15
136,16,Margherita Pizza,Casual,18.32,48
137,16,Tacos,Fast Food,6.28,97
138,16,Chawarma,Fast Food,8.5,51
139,16,BBQ Chicken Pizza,Casual,24.71,74
140,16,Pepperoni Pizza,Casual,26.32,72
141,16,Chocolate Cake,Dessert,8.4,64
142,16,Fresh Juice,Drinks,6.46,24
143,17,Fruit Tart,Dessert,5.4,63
144,17,Smoothie,Drinks,5.39,63
145,17,BBQ Chicken Pizza,Casual,24.59,53
146,17,Ice Cream Sundae,Dessert,7.07,19
147,17,Pepperoni Pizza,Casual,21.23,34
148,17,Pepperoni Pizza,Casual,20.57,19
149,17,Veggie Pizza,Casual,21.06,85
150,17,Margherita Pizza,Casual,24.62,64
151,17,Smoothie,Drinks,6.56,59
152,17,Smoothie,Drinks,5.43,74
153,18,Iced Tea,Drinks,4.55,38
154,18,Libanais,Fast Food,11.27,43
155,18,BBQ Chicken Pizza,Casual,27.46,33
156,18,Veggie Pizza,Casual,25.98,64
157,18,Cheesecake,Dessert,9.71,27
158,18,Smoothie,Drinks,7.5,11
159,18,Tacos,Fast Food,14.73,87
160,18,Kebab,Fast Food,7.44,97
161,18,Kebab,Fast Food,8.46,59
162,18,Chawarma,Fast Food,6.74,11
163,18,Iced Tea,Drinks,4.82,92
164,18,Fruit Tart,Dessert,6.96,47
165,18,Veggie Pizza,Casual,15.03,48
166,18,Classic Burger,Fast Food,12.44,70
167,18,Margherita Pizza,Casual,16.91,77
168,19,Smoothie,Drinks,7.92,36
169,19,Cheesecake,Dessert,6.15,53
170,19,Fresh Juice,Drinks,5.09,29
171,19,Veggie Burger,Fast Food,10.4,97
172,19,Smoothie,Drinks,7.91,27
173,19,Kebab,Fast Food,14.18,95
174,19,Cheese Burger,Fast Food,14.3,74
175,20,Lemonade,Drinks,2.18,36
176,20,Lemonade,Drinks,3.37,93
177,20,Fruit Tart,Dessert,5.37,41
178,20,BBQ Chicken Pizza,Casual,19.9,75
179,20,Ice Cream Sundae,Dessert,,35
180,20,Fresh Juice,Drinks,6.01,86
181,21,Veggie Burger,Fast Food,7.19,91
182,21,Margherita Pizza,Casual,17.33,42
183,21,Cheesecake,Dessert,7.24,98
184,21,Fruit Tart,Dessert,5.49,90
185,21,Chocolate Cake,Dessert,9.14,41
186,21,Libanais,Fast Food,9.55,17
187,21,Fresh Juice,Drinks,7.15,60
188,21,Cheesecake,Dessert,9.27,47
189,21,Kebab,Fast Food,12.99,86
190,22,Pepperoni Pizza,Casual,28.6,19
191,22,Chocolate Cake,Dessert,7.33,73
192,22,Smoothie,Drinks,3.48,20
193,22,Smoothie,Drinks,7.03,27
194,22,Pepperoni Pizza,Casual,27.07,59
195,22,Libanais,Fast Food,12.08,82
196,22,Chicken Burger,Fast Food,10.62,43
197,22,Cheesecake,Dessert,8.72,42
198,22,Fruit Tart,Dessert,9.04,62
