order_id,user_id,restaurant_id,post_id,delivery_person_id,order_timestamp,pickup_time,delivery_latitude,delivery_longitude,status,total_price,time_taken_minutes,city_id
1,1880,33,,84,2025-03-23 13:36:23,2025-03-23 13:55:23,36.784643992636155,10.16196576811072,Completed,20.03,27,23
2,1951,196,,81,2025-02-09 10:51:40,2025-02-09 11:01:40,36.495265251389306,10.745327585053017,Completed,22.9,22,16
3,2400,102,,82,2025-02-17 19:55:54,2025-02-17 20:10:54,36.50023351342943,10.719351808969604,Completed,40.28,36,16
4,2072,70,,8,2025-01-31 12:34:31,2025-01-31 12:44:31,33.87434007945116,10.099911116151407,Completed,44.66,32,5
5,4299,128,,8,2025-01-26 13:11:19,2025-01-26 13:26:19,33.85430189568795,10.05266227043409,Completed,37.61,32,5
6,3264,22,,99,2025-03-17 19:53:10,2025-03-17 20:10:10,36.48212619615517,10.72458773709109,Completed,427.74,25,16
7,2097,182,3553,81,2025-03-16 08:14:57,2025-03-16 08:29:57,32.91648222653706,10.434891130919274,Completed,19.27,24,21
8,3300,141,599,100,2025-02-25 13:36:02,2025-02-25 13:51:02,36.74689729907437,10.211070036008643,Completed,34.31,27,3
9,4049,113,4677,52,2025-03-04 15:19:05,2025-03-04 15:31:05,34.445041805481964,8.745196318218461,Completed,39.84,18,6
10,4163,131,,32,2025-01-14 17:55:25,2025-01-14 18:06:25,36.47625947625315,8.754364515160216,Cancelled,43.66,41,7
11,4134,71,4432,63,2025-03-05 20:36:30,2025-03-05 20:50:30,35.86326068344583,10.582418571602163,Completed,27.45,24,20
12,397,53,3604,28,2025-02-13 19:09:08,2025-02-13 19:23:08,36.821248025102115,10.174903955595976,Completed,43.8,26,23
13,42,183,,88,2025-01-09 18:48:59,2025-01-09 19:07:59,35.181375497478555,8.788051056410787,Completed,36.42,33,9
14,851,10,,62,2025-02-16 19:44:12,2025-02-16 19:59:12,34.735448579061384,10.800892070290544,Completed,22.32,20,17
15,1843,121,,60,2025-02-23 08:12:15,2025-02-23 08:26:15,36.83906604278971,10.140527192675606,Completed,40.94,30,23
16,252,166,,83,2025-01-10 17:05:26,2025-01-10 17:20:26,36.8517905455448,10.190707999544685,Completed,37.04,27,23
17,4305,34,,30,2025-03-26 19:07:16,2025-03-26 19:24:16,35.799123203928545,10.613503646481936,Completed,12.72,22,20
18,1125,191,3182,29,2025-01-25 17:20:04,2025-01-25 17:30:04,34.739125650078975,10.77106214766312,Completed,44.79,32,17
19,2437,127,,46,2025-02-21 08:55:44,2025-02-21 09:11:44,35.194267283483924,8.861654722132645,Completed,29.95,31,9
20,4229,24,,22,2025-03-16 20:50:44,2025-03-16 21:07:44,36.830472346576535,10.20996491611695,Completed,23.94,18,1
21,4490,167,,77,2025-03-02 13:23:16,2025-03-02 13:42:16,35.47928907980239,10.110792151262881,Completed,37.23,22,12
22,1096,106,,34,2025-01-24 18:24:38,2025-01-24 18:43:38,36.70833642168241,10.159217226146172,Cancelled,49.77,24,3
23,1657,165,2049,90,2025-01-31 12:14:54,2025-01-31 12:30:54,35.73598483926051,10.781645556104406,Completed,10.56,29,15
24,3389,9,,10,2025-02-06 10:55:38,2025-02-06 11:07:38,36.83291975117763,10.149092317031256,Completed,15.02,28,1
25,3169,58,,57,2025-02-04 12:47:49,2025-02-04 13:05:49,36.81620501921071,10.154519227774838,Cancelled,20.81,32,23
26,3289,10,,50,2025-01-31 18:48:56,2025-01-31 19:08:56,34.73929075555435,10.803386581525272,Completed,41.97,43,17
27,3523,45,1266,15,2025-02-13 15:04:07,2025-02-13 15:21:07,33.38717956667831,10.569285627342724,Completed,455.96,15,14
28,2786,141,2942,45,2025-01-31 13:15:38,2025-01-31 13:31:38,36.74273914429014,10.210250747436799,Completed,34.26,39,3
29,1317,136,,33,2025-01-16 20:23:01,2025-01-16 20:42:01,36.84818998714709,10.197712525669393,Completed,49.73,23,23
30,4165,127,,83,2025-01-28 11:29:49,2025-01-28 11:42:49,35.195917269067934,8.863113853923375,Cancelled,48.96,33,9
31,2847,141,530,100,2025-03-07 16:41:05,2025-03-07 16:51:05,36.74459408285912,10.228125035311,Completed,12.94,26,3
32,2177,16,,12,2025-01-16 12:46:54,2025-01-16 13:04:54,36.839928368805246,10.205075796477212,Completed,31.37,21,13
33,454,157,,47,2025-03-24 16:43:27,2025-03-24 16:54:27,33.94077045760987,8.142810801851343,Completed,43.34,27,22
34,772,97,4313,13,2025-03-09 15:46:18,2025-03-09 16:00:18,36.778872825024564,10.139206819263126,Completed,38.42,21,13
35,4402,156,,25,2025-03-06 19:07:17,2025-03-06 19:25:17,36.83316121029797,10.189241462269697,Completed,40.77,29,23
36,4868,124,,58,2025-02-17 20:17:28,2025-02-17 20:35:28,36.830843782376796,10.171594751571005,Completed,32.02,35,23
37,1711,7,,29,2025-02-03 21:52:47,2025-02-03 22:04:47,34.73424779745062,10.711079862717908,Completed,13.49,30,17
38,2459,39,326,18,2025-03-13 21:33:28,2025-03-13 21:43:28,35.817259880669376,10.594920295208706,Completed,28.3,23,20
39,1689,9,,53,2025-02-23 18:00:34,2025-02-23 18:18:34,36.839734446552356,10.15365101380847,Completed,19.33,20,1
40,281,156,,33,2025-02-10 19:56:45,2025-02-10 20:11:45,36.838728505339624,10.199439413729104,Completed,49.85,38,23
41,3811,54,4049,21,2025-03-14 12:04:23,2025-03-14 12:21:23,36.85275741195537,10.1531212316115,Completed,17.83,24,23
42,3189,120,,83,2025-01-19 08:55:56,2025-01-19 09:14:56,36.77952315189605,10.211360606634585,Completed,34.27,23,23
43,2307,119,4068,45,2025-03-17 14:22:11,2025-03-17 14:36:11,36.79519438850059,10.180107712848342,Completed,11.57,20,3
44,4804,44,,53,2025-01-31 15:26:06,2025-01-31 15:40:06,36.90305671973266,10.1894155960827,Completed,17.39,27,1
45,4949,43,,29,2025-01-24 12:46:43,2025-01-24 13:03:43,34.729585558366544,10.792593884714165,Completed,48.47,34,17
46,8,118,2392,6,2025-02-01 12:41:05,2025-02-01 12:53:05,36.8099107259365,10.164979683800004,Completed,49.84,23,23
47,3827,39,,61,2025-01-04 14:18:53,2025-01-04 14:37:53,35.80191415012455,10.603286087153148,Cancelled,13.61,24,20
48,3112,171,,31,2025-03-06 19:15:16,2025-03-06 19:28:16,36.72775406821726,10.253868696648535,Completed,32.21,21,3
49,442,157,,69,2025-02-26 19:21:58,2025-02-26 19:40:58,33.935527782703566,8.144425448053118,Completed,32.02,40,22
50,4975,67,,55,2025-02-23 20:57:32,2025-02-23 21:12:32,36.400822821284194,10.16952950528675,Completed,27.88,26,24
51,3655,7,2954,43,2025-02-17 17:35:31,2025-02-17 17:54:31,34.73102537577101,10.708836382279447,Completed,30.93,23,17
52,4200,192,,100,2025-03-25 20:07:19,2025-03-25 20:19:19,36.77902809505455,10.164960058116858,Completed,24.39,22,3
53,2458,66,,100,2025-01-31 19:23:54,2025-01-31 19:34:54,36.748895851985274,10.166261323188856,Completed,43.17,22,3
54,2092,38,,76,2025-02-09 10:04:56,2025-02-09 10:20:56,36.140727650552606,8.751852741089962,Cancelled,38.27,41,11
55,659,145,135,17,2025-03-16 09:16:05,2025-03-16 09:33:05,36.82418278844617,10.231239275778174,Completed,23.0,19,23
56,3721,149,572,55,2025-02-19 12:30:32,2025-02-19 12:46:32,36.38675904918197,10.14495611298719,Completed,13.94,22,24
57,436,113,895,52,2025-02-11 20:01:26,2025-02-11 20:21:26,34.4490649788922,8.75010697657998,Completed,28.71,31,6
58,114,113,,52,2025-03-24 13:19:43,2025-03-24 13:30:43,34.45693421937299,8.757112117989028,Completed,12.4,30,6
59,2511,196,3248,99,2025-03-21 20:40:48,2025-03-21 20:57:48,36.49329765525156,10.748004546591531,Completed,42.9,30,16
60,1354,144,,58,2025-02-12 11:07:59,2025-02-12 11:23:59,33.962498842305074,8.184360877165224,Completed,37.5,26,22
61,1733,36,,66,2025-03-03 15:17:14,2025-03-03 15:28:14,36.46392040429307,10.737152857635179,Completed,12.62,29,16
62,446,149,4521,55,2025-01-18 11:34:19,2025-01-18 11:44:19,36.38869610216469,10.126229102130628,Completed,32.19,19,24
63,4721,65,,80,2025-01-20 12:30:05,2025-01-20 12:47:05,36.83541845849433,10.219808513081555,Completed,11.29,29,23
64,4850,92,,59,2025-01-23 10:08:39,2025-01-23 10:22:39,34.767915590786984,10.793954844927743,Completed,13.13,28,17
65,2831,136,,25,2025-01-19 12:53:11,2025-01-19 13:09:11,36.84918698920961,10.209925209421888,Completed,11.41,21,23
66,3788,14,837,76,2025-03-13 12:34:01,2025-03-13 12:49:01,36.133850406137924,8.765804287384604,Completed,18.49,47,11
67,657,39,,85,2025-02-01 21:18:33,2025-02-01 21:38:33,35.80828999991681,10.590677907025738,Completed,25.58,34,20
68,4701,38,,76,2025-01-16 19:29:10,2025-01-16 19:42:10,36.14677197835441,8.756652176198296,Completed,26.3,20,11
69,2475,156,,84,2025-02-02 18:37:58,2025-02-02 18:52:58,36.84101211750465,10.201187373662284,Completed,35.74,22,23
70,2652,173,,4,2025-02-02 13:25:32,2025-02-02 13:37:32,36.901078201694986,10.129038114724024,Completed,34.06,20,1
71,4985,14,2642,76,2025-03-14 18:53:48,2025-03-14 19:06:48,36.13985904881141,8.770974811073833,Completed,45.36,45,11
72,3419,198,2933,88,2025-02-26 16:56:09,2025-02-26 17:07:09,36.82375632506122,10.16680979975973,Completed,23.51,21,23
73,202,123,,55,2025-02-15 10:46:01,2025-02-15 10:59:01,36.394546895786334,10.108368547179309,Completed,19.01,21,24
74,1963,12,,76,2025-02-05 12:40:33,2025-02-05 12:59:33,36.2028138983172,8.669016647694697,Completed,47.66,27,11
75,865,114,,62,2025-03-05 12:27:55,2025-03-05 12:46:55,34.7817533258305,10.75009894178143,Completed,43.06,25,17
76,2748,129,,78,2025-01-10 17:25:49,2025-01-10 17:43:49,36.8197979774557,10.153096316814446,Completed,49.17,22,23
77,1391,105,4873,37,2025-03-20 08:16:46,2025-03-20 08:26:46,36.81919548885043,10.174197383372944,Completed,13.47,18,23
78,2253,115,4928,70,2025-03-24 18:20:32,2025-03-24 18:30:32,36.7975438258259,10.146607774768679,Completed,25.84,27,23
79,3001,181,,93,2025-02-20 18:32:47,2025-02-20 18:52:47,33.87787937217477,10.09297524459784,Completed,37.52,23,5
80,2484,14,,76,2025-01-18 13:53:01,2025-01-18 14:06:01,36.130252293910885,8.764034506079952,Completed,37.16,40,11
81,3633,53,3795,19,2025-03-15 13:17:52,2025-03-15 13:29:52,36.835990224537156,10.171015861050915,Completed,24.86,20,23
82,2305,90,,53,2025-01-10 10:30:44,2025-01-10 10:45:44,36.84507338987681,10.13148839787652,Completed,25.76,21,1
83,608,28,1288,31,2025-03-16 13:11:47,2025-03-16 13:27:47,36.736611307657036,10.18555443616636,Completed,31.05,33,3
